id,name,faction,type,zone,value,attack,defense,description,ability
19,Consigliere astuto,mafia,character,talker,3,2,4,"Un hombre de palabras afiladas y mente aguda, siempre un paso adelante en el juego del poder y la traición.",
20,Gangster con Tommy gun,mafia,character,gunslinger,4,5,1,"Un hombre duro, con un cigarro perpetuamente encendido y una Thompson en mano, listo para sembrar el caos en las calles con ráfagas de balas.",
21,Francotirador encubierto,mafia,character,gunslinger,3,4,1,"Un asesino silencioso, moviéndose entre las sombras con una precisión mortal y un ojo para el blanco perfecto.",
22,Soborno,mafia,effect,,3,0,0,"Roba una carta y gana 1 Reputación.",
23,Amenaza velada,mafia,effect,,2,0,0,"Destruye una carta enemiga de valor 3 o menos.",
24,Extorsión,mafia,effect,,2,0,0,"El rival pierde 2 de Reputación.",
25,Red de influencias,mafia,effect,,4,0,0,"Roba 3 cartas.",
26,Contrabando,mafia,effect,,5,0,0,"Gana 3 de Reputación.",
27,Perro de pelea,mafia,character,fighter,2,4,3,"Un luchador feroz, entrenado en las calles y siempre listo para la próxima pelea, con cicatrices que cuentan historias de supervivencia y brutalidad.",
28,Club nocturno,mafia,environment,environment,4,0,0,"Todos los PERSUASORES aliados ganan +1 DEF mientras esta carta esté activa.",
29,Lavado de dinero,mafia,effect,,3,0,0,"Reduce el coste de todas las cartas en tu mano en 1 este turno.",
30,Ataque sorpresa,mafia,effect,,3,0,0,"Ignora la defensa de un enemigo este turno.",
31,Detective Marlowe,detective,leader,talker,8,6,4,"Un investigador astuto y persistente, conocido por su habilidad para desentrañar los casos más complejos en las calles oscuras de la ciudad.","Intuición: Mira la mano del rival al inicio de tu turno."
32,Investigador privado,detective,character,fighter,3,2,3,"Un investigador astuto y persistente, siempre en busca de la verdad.",
33,Tirador experto,detective,character,gunslinger,4,5,2,"Un tirador con una puntería impecable, siempre listo para proteger a los inocentes con un disparo certero.",
34,Informante callejero,detective,character,talker,2,1,2,"Un informante anónimo que se mueve entre las sombras.",
35,Oficial de policía encubierto,detective,character,fighter,6,4,4,"Un oficial que ha dejado su placa para infiltrarse en las filas criminales, siempre vigilante y listo para actuar.",
36,Tácticas de interrogatorio,detective,effect,,3,0,0,"Mira la mano del rival y descarta una carta.",
37,Orden de registro,detective,effect,,4,0,0,"Destruye una carta enemiga de valor 4 o menos.",
38,Informantes confiables,detective,effect,,4,0,0,"Roba 2 cartas.",
39,Evidencia incriminatoria,detective,effect,,3,0,0,"El rival no puede atacar en su siguiente turno.",
40,Mercenario,detective,character,gunslinger,4,5,2,"Un soldado de fortuna, contratado para proteger y servir a quien pague más, con habilidades letales y una moral flexible.",
41,Bandolero,detective,character,gunslinger,5,6,3,"Un experto tirador que puede eliminar a sus objetivos desde la distancia con un solo disparo.",
42,Refugio seguro,detective,environment,environment,4,0,0,"Todos los PERSUASORES aliados ganan +1 DEF mientras esta carta esté activa.",
43,Red de vigilancia,detective,effect,,2,0,0,"Mira la mano del rival.",
44,Testigo protegido,detective,effect,,3,0,0,"Recupera 2 de Reputación.",
45,Emboscada,detective,effect,,5,0,0,"Destruye una carta enemiga de valor 5 o menos.",
46,Sombra,thief,leader,fighter,7,8,3,"Un maestro del sigilo y la evasión, capaz de moverse sin ser detectado y atacar desde las sombras.",
47,Ladrones callejeros,thief,character,fighter,2,3,2,"Un grupo de jóvenes astutos y ágiles, expertos en el arte del hurto y la evasión.",
48,Secuestrador,thief,character,gunslinger,3,4,2,"Armado y peligroso, siempre listo para tomar rehenes y exigir rescates.",
49,Estafador,thief,character,talker,2,2,3,"Un maestro del engaño y la manipulación, capaz de convencer a cualquiera de cualquier cosa.",
50,Ladrón de guante blanco,thief,character,fighter,4,5,3,"Un ladrón elegante y sofisticado, conocido por sus robos audaces y su estilo impecable.",
51,Robo relámpago,thief,effect,,3,0,0,"Roba una carta y gana 1 Reputación.",
52,Trampa para incautos,thief,effect,,2,0,0,"Destruye una carta enemiga de valor 3 o menos.",
53,Callejones oscuros,thief,environment,environment,4,0,0,"Todos los LUCHADORES aliados ganan +1 ATK mientras esta carta esté activa.",
54,Escape audaz,thief,effect,,4,0,0,"Devuelve una carta descartada a tu mazo.",
55,Red de contrabando,thief,effect,,5,0,0,"Gana 3 de Reputación.",
56,Asaltante nocturno,thief,character,fighter,3,4,2,"Un ladrón que opera bajo el manto de la noche, sucio y astuto.",
57,Maestro del disfraz,thief,character,talker,3,2,4,"Un experto en cambiar de identidad y mezclarse entre las multitudes.",
58,Botín valioso,thief,effect,,2,0,0,"Roba 2 cartas.",
59,Pacto oscuro,thief,effect,,3,0,0,"El rival pierde 2 de Reputación.",
60,Golpe maestro,thief,effect,,4,0,0,"Destruye una carta enemiga de valor 4 o menos.",
61,Risas el payaso alegre,wildcard,leader,fighter,10,8,3,"Más que un bufón, un enigma de colores brillantes.","Caos: Lanza una moneda, si sale cara, roba una carta, si sale cruz, devuelve una carta de tu mano al mazo."
62,La niña,wildcard,character,fighter,5,0,0,"Una niña pequeña. Destruirla cuesta 5 de Reputación.",
63,El mago,wildcard,character,talker,6,2,5,"Un ilusionista que juega con la mente y la realidad.",
64,El acróbata,wildcard,character,fighter,4,4,2,"Un maestro del equilibrio y la agilidad, capaz de hazañas impresionantes.",
65,El dentista,wildcard,character,fighter,5,5,3,"Un dentista. Terrible.",
66,El caballero,wildcard,character,fighter,7,6,4,"Un noble guerrero con un fuerte sentido del honor.",
67,Una ardilla rabiosa,wildcard,character,talker,2,4,0,"Una ardilla. Rabiosa. Espuma, dientes, locura. Rabiosa.",
68,Electrocutar,wildcard,effect,,3,0,0,"Pierde 1 de Reputación para destruir una carta enemiga.",
69,Cambio de identidad,wildcard,effect,,2,0,0,"Intercambia una carta aleatoria de tu mano con una carta aleatoria de la mano del rival.",
70,Caos controlado,wildcard,effect,,4,0,0,"Roba 2 cartas y descarta 1 carta.",
71,Mente maestra,wildcard,effect,,5,0,0,"Mira la mano del rival y roba una carta de su elección.",
72,Muestra gratuita,wildcard,effect,,2,0,0,"Juega una carta de tu mano sin pagar su coste.",
73,Bomba atómica,wildcard,effect,,5,0,0,"Destruye todas las cartas en juego.",
74,Circo ambulante,wildcard,environment,environment,4,0,0,"Todas las cartas aliadas ganan +1 ATK y +1 DEF.",
75,Misterio,wildcard,effect,,3,0,0,"Toma la cantidad de monedas que quieras del pozo común y pierde 1 de Reputación por cada moneda tomada."
